item,ans_ind,ans_text,ans_prop,state
1. aunt,a,"[] as in ""ah""",3.73,AL
1. aunt,b,"[] as in ""ant""",84.23,AL
1. aunt,c,"[] as in ""caught""",1.24,AL
1. aunt,d,"I have the same vowel in ""ah"", ""caught"", and ""aunt""",1.24,AL
1. aunt,e,"I pronounce it the same as ""ain't""",4.56,AL
1. aunt,f,"I use [/] when referring to the general concept of an aunt, but [] when referring to a specific person by name.",2.49,AL
1. aunt,g,"I use [] when referring to the general concept of an aunt, but [/] when referring to a specific person by name.",0.41,AL
1. aunt,h,other,2.07,AL
2. been,a,"[] as in ""sit""",68.49,AL
2. been,b,"[i:] as in ""see""",7.56,AL
2. been,c,"[] as in ""set""",19.33,AL
2. been,d,other,4.62,AL
"3. the first vowel in ""Bowie knife""",a,"[o:] as in ""Bo""",53.75,AL
"3. the first vowel in ""Bowie knife""",b,"[u:] as in ""boo""",37.08,AL
"3. the first vowel in ""Bowie knife""",c,"I have seen this word in print, but have no idea how to pronounce it",3.75,AL
"3. the first vowel in ""Bowie knife""",d,I have never seen or heard this word,5,AL
"3. the first vowel in ""Bowie knife""",e,other,0.42,AL
4. caramel,a,"with 2 syllables (""car-ml"")",20.75,AL
4. caramel,b,"with 3 syllables (""carra-mel"")",65.56,AL
4. caramel,c,I use both interchangeably,11.62,AL
4. caramel,e,other,2.07,AL
"5. the vowel in the second syllable of ""cauliflower""",a,"[i:] as in ""see""",26.14,AL
"5. the vowel in the second syllable of ""cauliflower""",b,"[] as in ""sit""",64.73,AL
"5. the vowel in the second syllable of ""cauliflower""",c,other,9.13,AL
"6. the last vowel in ""centaur""",a,"[] as in ""car"" (""sen-tar"")",64.85,AL
"6. the last vowel in ""centaur""",b,"[] as in ""caught""",12.13,AL
"6. the last vowel in ""centaur""",c,"I use the same vowel in ""car"", ""caught"", and ""centaur""",9.62,AL
"6. the last vowel in ""centaur""",d,"rhymes with ""sore"" and ""more"" (""sen-tore"")",10.88,AL
"6. the last vowel in ""centaur""",e,other,2.51,AL
7. coupon,a,"with [u:] as in ""coop"" (""coopon"")",55.83,AL
7. coupon,b,"with [ju:] as in ""cute"" (""cyoopon"")",42.08,AL
7. coupon,c,other,2.08,AL
8. Craig (the name),a,"[] as in ""set""",52.72,AL
8. Craig (the name),b,"[e:] as in ""say""",20.92,AL
8. Craig (the name),c,"I say something in between the vowels in ""set"" and ""say"", but closer to the one in ""say""",10.04,AL
8. Craig (the name),d,"I say something in between the vowels in ""set"" and ""say"", but closer to the one in ""set""",15.06,AL
8. Craig (the name),e,other,1.26,AL
9. crayon,a,"[] as in ""man"" (1 syllable, ""cran"")",2.48,AL
9. crayon,b,"[ej] (2 syllables, ""cray-ahn"")",65.29,AL
9. crayon,c,"[ej] (2 syllables, ""cray-awn"", where the second syllable rhymes with ""dawn"")",30.58,AL
9. crayon,d,"[aw] (I pronounce this the same as ""crown"")",1.24,AL
9. crayon,e,other,0.41,AL
10. creek (a small body of running water),a,"[i:] as in ""see""",95.87,AL
10. creek (a small body of running water),b,"[] as in ""sit""",0.83,AL
10. creek (a small body of running water),c,I use both interchangeably,2.48,AL
10. creek (a small body of running water),e,"I use both, but they mean two different things (please state how they differ in the comments box)",0.83,AL
"11. the first vowel in ""Florida""",a,"[o:] as in ""flow"" (""flow-ri-da"")",4.6,AL
